INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,55,70,91,44,72,85,76,88,85,91,65,89,911,91,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,34,36,32,37,37,33,44,46,62,48,33,52,494,62,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,36,65,50,46,40,48,58,54,70,56,47,71,641,71,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,24,27,28,22,46,55,47,36,46,44,45,40,460,55,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,19,20,12,13,15,35,13,27,38,26,29,36,283,38,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,27,38,42,36,43,41,50,65,58,60,55,46,561,65,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,31,44,57,46,72,70,57,70,93,88,59,70,757,93,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,0,0,10,18,22,37,30,22,36,41,51,54,321,54,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,19,38,34,33,33,33,61,41,44,48,32,50,466,61,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,30,29,28,32,39,70,58,53,83,47,28,24,521,83,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,2,6,2,1,2,2,0,3,13,6,8,8,53,13,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,137,160,476,343,485,583,698,793,626,582,511,474,5868,793,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,18,23,36,29,33,37,35,40,35,38,24,37,385,40,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,0,0,0,0,0,0,0,0,0,0,0,,0,0,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,2,39,48,51,47,60,76,90,72,83,92,77,737,92,15
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,26,32,22,24,35,37,4,0,0,0,0,,180,37,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,25,34,38,55,84,107,101,124,93,75,45,63,844,124,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,0,0,0,0,0,0,0,0,0,,,,0,0,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,29,28,28,14,25,24,29,43,28,27,19,24,318,43,19
CONROY @ LORRY GREENBERG ,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,17,20,9,17,16,25,26,37,36,31,35,31,300,37,20
AVIATION PARKWAY @ OGILVIE ,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,13,21,17,8,18,24,31,38,26,15,18,21,250,38,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,92,0,87,117,171,132,113,111,107,72,101,82,1185,171,22
FISHER @ MEADOWLANDS,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,45,48,35,39,71,65,65,84,68,51,19,10,600,84,23
SAUNDERSON @ SMYTH,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,15,19,26,21,22,26,28,35,33,24,20,21,290,35,24
JOCKVALE @ STRANDHERD,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,18,16,42,30,45,23,0,0,0,0,0,,174,45,25
BLAIR @ REGIONAL RD 174 W.,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,41,69,102,53,57,0,0,0,0,0,0,,322,102,26
ALBERT @ KENT,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,38,47,53,55,54,45,53,49,45,30,25,31,525,55,27
